#    WDM      SN1      SN2      AGN
0.452802 3.440849 0.703150 0.267759
0.080695 0.342007 1.517237 1.055005
0.091027 3.719952 0.875749 0.638522
0.439019 0.323275 1.123224 2.489167
0.304183 1.026411 0.517436 0.461839
0.225735 0.810707 1.877936 1.875188
0.274503 1.870043 1.224091 1.318685
0.385595 0.643066 0.802461 0.335561
0.520299 2.064614 1.449017 3.656524
0.139672 0.403039 0.671534 0.888379
0.105203 1.317098 1.601149 0.293628
0.542649 0.913036 0.610593 1.144862
0.416244 2.899437 1.352636 0.713991
0.231480 0.286995 0.729685 2.898532
0.182843 2.647992 0.559530 2.038674
0.334972 0.454144 1.744972 0.518681
0.461245 1.457809 0.946933 1.681489
0.056442 0.570800 1.043673 0.408595
0.051581 1.202804 0.967300 1.171792
0.462536 0.999802 1.066211 0.284757
0.328103 3.157407 0.572387 2.847187
0.186142 0.263545 1.784917 0.724426
0.234269 2.418497 1.383601 0.509523
0.408865 0.497235 0.746452 2.068346
0.543430 1.587722 1.635725 0.418230
0.099832 0.524097 0.623726 1.630599
0.146573 3.406909 1.479307 2.563694
0.516968 0.352976 0.685513 0.622891
0.390424 1.114905 1.251265 1.850388
0.273244 0.746362 0.820345 0.470879
0.224986 1.712323 0.528968 0.331136
0.309522 0.702303 1.919626 1.344446
0.436198 2.242134 0.893980 0.915011
0.098437 0.371127 1.146703 3.566886
0.075324 2.040500 0.658214 0.381640
0.453582 0.416734 1.420396 1.503643
0.319143 1.894387 0.787709 0.552356
0.209891 0.621199 1.201487 2.267417
0.292182 1.014934 1.843248 3.086551
0.368800 0.837825 0.507921 0.794145
0.503363 3.767748 1.101031 1.069281
0.157747 0.312335 0.858374 0.262585
0.122887 1.444931 1.018265 0.991931
0.525864 0.588498 0.923802 3.910184
0.399314 2.675662 1.704580 0.302165
0.249565 0.439815 0.546625 1.239770
0.167134 2.874307 0.712852 1.688510
0.349525 0.295843 1.321320 0.434215
0.476199 1.330189 0.595675 2.779226
0.040588 0.884682 1.562161 0.682838
0.046740 3.237709 1.288518 0.254686
0.482158 0.257009 0.826317 1.033781
0.355869 1.287984 1.541305 0.836707
0.173156 0.933677 0.699235 3.262436
0.255461 1.627876 0.901741 2.344078
0.405531 0.511169 1.182285 0.569779
0.531952 2.589481 0.538800 1.423294
0.129168 0.464404 1.997615 0.362045
0.151406 1.143050 0.592553 0.662411
0.497339 0.727980 1.807747 2.690140
0.362650 3.647626 0.991725 0.457409
0.286222 0.329685 1.069980 1.782615
0.203801 2.299261 1.658812 1.281469
0.312865 0.361909 0.646654 0.311327
0.447685 1.833660 1.386665 3.701867
0.069109 0.655824 0.764164 0.942116
0.088332 1.929446 1.735840 1.543996
0.425776 0.609915 0.568983 0.397157
0.299481 2.170282 1.027375 2.137565
0.214755 0.391809 0.952236 0.525058
0.262887 3.837007 0.620909 0.762989
0.380256 0.306695 1.592770 3.006392
0.506675 1.079348 0.733771 0.276284
0.136596 0.787832 1.331513 1.134046
0.109871 2.724737 0.789130 3.375731
0.553663 0.431893 1.230530 0.868172
0.418969 1.536567 0.667795 1.390144
0.244693 0.553404 1.472003 0.341521
0.196437 1.354861 1.129132 0.496197
0.338078 0.868573 0.861201 1.955508
0.472896 3.057259 1.907725 0.604049
0.061747 0.278138 0.514555 2.479013
0.058094 1.749928 1.093461 0.542459
0.471314 0.687210 0.852166 2.114262
0.336624 2.194228 1.847257 0.392822
0.192912 0.379230 0.509209 1.595178
0.242067 3.481292 0.780938 1.097552
0.418414 0.345435 1.191536 0.279346
0.553236 1.090946 0.660791 3.039760
0.107373 0.762754 1.425504 0.738430
0.138010 2.471196 0.600834 0.352730
0.510224 0.486632 1.575123 1.375466
0.383933 1.553538 0.710095 0.859017
0.264428 0.535630 1.316681 3.486499
0.215158 1.229271 1.716508 2.400082
0.302019 0.978275 0.550625 0.610559
0.428442 3.090075 1.016001 1.976559
0.088863 0.269287 0.921456 0.480402
0.066540 2.937679 1.640442 3.297530
0.447060 0.289460 0.625750 0.810049
0.312367 1.301878 1.371225 1.000852
0.201360 0.903919 0.739510 0.257423
0.282639 1.476353 0.573432 0.358214
0.361012 0.575974 1.787605 1.469978
0.495828 2.617942 0.959663 0.588462
0.147951 0.449512 1.058128 2.319309
0.129626 1.037137 0.892286 1.802415
0.534417 0.819890 1.144941 0.442699
0.408124 3.686938 0.533206 2.603605
0.256046 0.319181 1.934309 0.669777
0.174643 2.085224 1.247680 0.931865
0.359363 0.407795 0.817735 3.824631
0.485780 1.853833 1.492609 0.321654
0.048354 0.634788 0.691897 1.267509
0.037930 2.349262 0.736109 2.194643
0.475677 0.354206 1.335331 0.558433
0.349130 1.794104 0.615172 1.520200
0.164603 0.670284 1.578556 0.369386
0.245880 1.168251 1.028949 0.271310
0.397765 0.712275 0.954037 1.057532
0.524442 3.569991 1.722643 0.785413
0.119330 0.336855 0.564454 3.189146
0.158182 1.663556 1.904829 1.200395
0.505870 0.500204 0.513610 0.305396
0.371434 2.534046 1.137746 3.951953
0.292745 0.474563 0.868046 0.960440
0.211336 3.308538 0.665625 0.705311
0.322661 0.251507 1.467748 2.749656
0.457228 1.260359 0.796530 0.429599
0.076897 0.954143 1.241624 1.744059
0.094823 1.384442 0.534890 0.716703
